sample_id,fastq_1,condition
HNRNPF_C1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-01_S1_L001_R1_001.fastq.gz,HNRNPF_C
HNRNPF_C2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-02_S2_L001_R1_001.fastq.gz,HNRNPF_C
HNRNPF_F1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-03_S142_L006_R1_001.fastq.gz,HNRNPF_F
HNRNPF_F2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-03_S3_L001_R1_001.fastq.gz,HNRNPF_F
HNRNPF_CI_1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-05_S4_L001_R1_001.fastq.gz,HNRNPF_CI
HNRNPF_CI_2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-06_S5_L001_R1_001.fastq.gz,HNRNPF_CI
HNRNPF_FI_1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-07_S6_L001_R1_001.fastq.gz,HNRNPF_FI
HNRNPF_FI_2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-27-09302025_151421/23230FL-27-08_S7_L001_R1_001.fastq.gz,HNRNPF_F
HNRNPH1_C1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-01_S141_L006_R1_001.fastq.gz,HNRNPH1_C
HNRNPH1_C2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-02_S209_L008_R1_001.fastq.gz,HNRNPH1_C
HNRNPH1_F1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-03_S210_L008_R1_001.fastq.gz,HNRNPH1_F
HNRNPH1_F2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-04_S211_L008_R1_001.fastq.gz,HNRNPH1_F
HNRNPH1_CI_1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-05_S30_L005_R1_001.fastq.gz,HNRNPH1_CI
HNRNPH1_CI_2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-06_S31_L005_R1_001.fastq.gz,HNRNPH1_CI
HNRNPH1_FI_1,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-07_S32_L005_R1_001.fastq.gz,HNRNPH1_FI
HNRNPH1_FI_2,/home/jfp0082/project_yang/shared_data/clip_seq/23230-28-10172025_143834/23230FL-28-08_S33_L005_R1_001.fastq.gz,HNRNPH1_FI
